City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Takoradi,GH,79.66,few clouds,4.8845,-1.7554,Raybow International Hotel
344,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
352,Honiara,SB,79.03,overcast clouds,-9.4333,159.95,Heritage Park Hotel
354,Meulaboh,ID,75.56,overcast clouds,4.1363,96.1285,Kost Pria
357,Am Timan,TD,76.28,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
358,Kulhudhuffushi,MV,80.55,broken clouds,6.6221,73.07,Haajy Guest House 1
361,Mandera,KE,82.56,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
363,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
364,Keffi,NG,82.65,overcast clouds,8.8486,7.8736,Imam Family
368,Labuhan,ID,76.73,overcast clouds,-6.8844,112.2051,DoubleFAG
369,Kalmunai,LK,76.28,light rain,7.4167,81.8167,VS Villa
378,Dhidhdhoo,MV,80.65,scattered clouds,6.8833,73.1,Dhidhoo beach
391,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
393,Bom Jesus,BR,83.41,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
394,Labrea,BR,80.51,light rain,-7.2586,-64.7981,Hotel Novo Horizonte
405,Tabou,CI,79.3,clear sky,4.423,-7.3528,hotêl doufoulougou
409,Tagusao,PH,78.44,overcast clouds,9.1924,117.8141,Green Villa beach resort
416,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
422,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
423,Gambela,ET,87.82,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
426,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
432,Bocas Del Toro,PA,85.08,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
433,De Aar,ZA,78.82,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
434,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
443,Kavaratti,IN,78.64,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
447,Sinnamary,GF,79.09,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
